player_id,player_name,first_name,last_name,nation,club,club_code,dob
44118582,Sander Berge,Sander,Berge,NOR,Fulham,FUL,1998
91870084,Lucas Bergvall,Lucas,Bergvall,SWE,Tottenham,TOT,2006
93899330,Victor Bernth Kristiansen,Victor,Kristiansen,DEN,Leicester City,LEI,2002
27904118,Beto,Beto,Beto,GNB,Everton,EVE,1998
61709540,Philip Billing,Philip,Billing,DEN,Bournemouth,BOU,1996
24950631,Yves Bissouma,Yves,Bissouma,MLI,Tottenham,TOT,1996
7801748,Oscar Bobb,Oscar,Bobb,NOR,Manchester City,MCI,2003
86264453,Lamare Bogarde,Lamare,Bogarde,NED,Aston Villa,AVL,2004
68545477,Willy Boly,Willy,Boly,CIV,Nott'ham Forest,NFO,1991
4722979,Sven Botman,Sven,Botman,NED,Newcastle Utd,NEW,2000
49616116,Jarrod Bowen,Jarrod,Bowen,ENG,West Ham,WHU,1996
26148385,Conor Bradley,Conor,Bradley,NIR,Liverpool,LIV,2003
24689994,Jarrad Branthwaite,Jarrad,Branthwaite,ENG,Everton,EVE,2002
67246910,James Bree,James,Bree,ENG,Southampton,SOU,1997
19845501,Ben Brereton,Ben,Brereton,CHI,Southampton,SOU,1999
74374841,Nathan Broadhead,Nathan,Broadhead,WAL,Ipswich Town,IPS,1998
2066334,Armando Broja,Armando,Broja,ALB,Everton,EVE,2001
33529666,David Brooks,David,Brooks,WAL,Bournemouth,BOU,1997
48703148,Emi Buendía,Emi,Buendía,ARG,Aston Villa,AVL,1996
16766048,Santiago Bueno,Santiago,Bueno,URU,Wolves,WOL,1998
86175092,Facundo Buonanotte,Facundo,Buonanotte,ARG,Leicester City,LEI,2004
20115070,Cameron Burgess,Cameron,Burgess,AUS,Ipswich Town,IPS,1995
99130171,Dan Burn,Dan,Burn,ENG,Newcastle Utd,NEW,1992
52902372,Wes Burns,Wes,Burns,WAL,Ipswich Town,IPS,1994
6565491,Nathan Butler-Oyedeji,Nathan,Butler-Oyedeji,ENG,Arsenal,ARS,2003
65844617,Moisés Caicedo,Moisés,Caicedo,ECU,Chelsea,CHE,2001
77911802,Tom Cairney,Tom,Cairney,SCO,Fulham,FUL,1991
96614107,Jens Cajuste,Jens,Cajuste,SWE,Ipswich Town,IPS,1999
20675988,Riccardo Calafiori,Riccardo,Calafiori,ITA,Arsenal,ARS,2002
64995264,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,ENG,Everton,EVE,1997
69426321,Diego Carlos,Diego,Carlos,BRA,Aston Villa,AVL,1993
16519196,Fabio Carvalho,Fabio,Carvalho,POR,Brentford,BRE,2002
35068836,Casemiro,Casemiro,Casemiro,BRA,Manchester Utd,MUN,1992
7711040,Kaelan Casey,Kaelan,Casey,ENG,West Ham,WHU,2004
16635739,Matty Cash,Matty,Cash,POL,Aston Villa,AVL,1997
6165241,Eiran Cashin,Eiran,Cashin,IRL,Brighton,BHA,2001
58597174,Timothy Castagne,Timothy,Castagne,BEL,Fulham,FUL,1995
66582757,Trevoh Chalobah,Trevoh,Chalobah,ENG,Crystal Palace,CRY,1999
26038231,Conor Chaplin,Conor,Chaplin,ENG,Ipswich Town,IPS,1997
19147988,Youssef Chermiti,Youssef,Chermiti,POR,Everton,EVE,2004
85778447,Federico Chiesa,Federico,Chiesa,ITA,Liverpool,LIV,1997
27136766,Ben Chilwell,Ben,Chilwell,ENG,Crystal Palace,CRY,1996
74783650,Chiquinho,Chiquinho,Chiquinho,POR,Wolves,WOL,2000
25441414,Hamza Choudhury,Hamza,Choudhury,BAN,Leicester City,LEI,1997
63399489,Ryan Christie,Ryan,Christie,SCO,Bournemouth,BOU,1995
29365859,Harry Clarke,Harry,Clarke,ENG,Ipswich Town,IPS,2001
64012962,Jack Clarke,Jack,Clarke,ENG,Ipswich Town,IPS,2000
33466851,Nathaniel Clyne,Nathaniel,Clyne,ENG,Crystal Palace,CRY,1991
64265943,Conor Coady,Conor,Coady,ENG,Leicester City,LEI,1993
23635877,Séamus Coleman,Séamus,Coleman,IRL,Everton,EVE,1988
7086454,Nathan Collins,Nathan,Collins,IRL,Brentford,BRE,2001
70284874,Toby Collyer,Toby,Collyer,ENG,Manchester Utd,MUN,2004
84370616,Levi Colwill,Levi,Colwill,ENG,Chelsea,CHE,2003
56428694,Lewis Cook,Lewis,Cook,ENG,Bournemouth,BOU,1997
67616168,Maxwel Cornet,Maxwel,Cornet,CIV,Southampton,SOU,1996
20329759,Vladimír Coufal,Vladimír,Coufal,CZE,West Ham,WHU,1992
90533854,Woyo Coulibaly,Woyo,Coulibaly,MLI,Leicester City,LEI,1999
89155403,Aaron Cresswell,Aaron,Cresswell,ENG,West Ham,WHU,1989
37096988,Marc Cucurella,Marc,Cucurella,ESP,Chelsea,CHE,1998
73314302,Jorge Cuenca,Jorge,Cuenca,ESP,Fulham,FUL,1999
25088916,Matheus Cunha,Matheus,Cunha,BRA,Wolves,WOL,1999
58536905,Patson Daka,Patson,Daka,ZAM,Leicester City,LEI,1998
34133661,Diogo Dalot,Diogo,Dalot,POR,Manchester Utd,MUN,1999
72083076,Mikkel Damsgaard,Mikkel,Damsgaard,DEN,Brentford,BRE,2000
71641721,Danilo,Danilo,Danilo,BRA,Nott'ham Forest,NFO,2001
49846916,Jayden Danns,Jayden,Danns,ENG,Liverpool,LIV,2006
29589302,Kevin Danso,Kevin,Danso,AUT,Tottenham,TOT,1998
29454546,Ben Davies,Ben,Davies,WAL,Tottenham,TOT,1993
62688798,Leif Davis,Leif,Davis,ENG,Ipswich Town,IPS,2000
62352804,Craig Dawson,Craig,Dawson,ENG,Wolves,WOL,1990
24211839,Kevin De Bruyne,Kevin,Bruyne,BEL,Manchester City,MCI,1991
15191812,Bobby De Cordova-Reid,Bobby,Cordova-Reid,JAM,Leicester City,LEI,1993
26079358,Liam Delap,Liam,Delap,ENG,Ipswich Town,IPS,2003
68699090,Sepp van den Berg,Sepp,Berg,NED,Brentford,BRE,2001
71686063,Justin Devenny,Justin,Devenny,NIR,Crystal Palace,CRY,2003
66282358,Kiernan Dewsbury-Hall,Kiernan,Dewsbury-Hall,ENG,Chelsea,CHE,1998
22526837,Amad Diallo,Amad,Diallo,CIV,Manchester Utd,MUN,2002
79161063,Rúben Dias,Rúben,Dias,POR,Manchester City,MCI,1997
67587650,Luis Díaz,Luis,Díaz,COL,Liverpool,LIV,1997
13010138,Tyler Dibling,Tyler,Dibling,ENG,Southampton,SOU,2006
46430800,Lucas Digne,Lucas,Digne,FRA,Aston Villa,AVL,1993
29312723,Issa Diop,Issa,Diop,FRA,Fulham,FUL,1997
209789,Axel Disasi,Axel,Disasi,FRA,Aston Villa,AVL,1998
40840457,Roman Dixon,Roman,Dixon,ENG,Everton,EVE,2004
93357987,Nasser Djiga,Nasser,Djiga,BFA,Wolves,WOL,2002
45320822,Matt Doherty,Matt,Doherty,IRL,Wolves,WOL,1992
76781361,Jeremy Doku,Jeremy,Doku,BEL,Manchester City,MCI,2002
73758290,Nicolás Domínguez,Nicolás,Domínguez,ARG,Nott'ham Forest,NFO,1998
6723815,Patrick Dorgu,Patrick,Dorgu,DEN,Manchester Utd,MUN,2004
42956053,Alfie Dorrington,Alfie,Dorrington,ENG,Tottenham,TOT,2005
26271831,Abdoulaye Doucouré,Abdoulaye,Doucouré,MLI,Everton,EVE,1993
77140044,Cheick Doucouré,Cheick,Doucouré,MLI,Crystal Palace,CRY,2000
61597705,Flynn Downes,Flynn,Downes,ENG,Southampton,SOU,1999
46187451,Tommy Doyle,Tommy,Doyle,ENG,Wolves,WOL,2001
4606813,Radu Drăgușin,Radu,Drăgușin,ROU,Tottenham,TOT,2002
89268880,Martin Dúbravka,Martin,Dúbravka,SVK,Newcastle Utd,NEW,1989
90140698,Lewis Dunk,Lewis,Dunk,ENG,Brighton,BHA,1991
2057398,Jáder Durán,Jáder,Durán,COL,Aston Villa,AVL,2003
15548222,Claudio Echeverri,Claudio,Echeverri,ARG,Manchester City,MCI,2006
70468396,Ederson,Ederson,Ederson,BRA,Manchester City,MCI,1993
42255177,George Edmundson,George,Edmundson,ENG,Ipswich Town,IPS,1997
34816264,Odsonne Édouard,Odsonne,Édouard,FRA,Crystal Palace,CRY,1998
95871822,Samuel Edozie,Samuel,Edozie,ENG,Southampton,SOU,2003
82472866,Ronnie Edwards,Ronnie,Edwards,ENG,Southampton,SOU,2003
76446556,Anthony Elanga,Anthony,Elanga,SWE,Nott'ham Forest,NFO,2002
294522,Harvey Elliott,Harvey,Elliott,ENG,Liverpool,LIV,2003
34589852,Yunus Emre Konak,Yunus,Konak,TUR,Brentford,BRE,2006
72103338,Julio Enciso,Julio,Enciso,PAR,Ipswich Town,IPS,2004
76863390,Wataru Endo,Wataru,Endo,JPN,Liverpool,LIV,1993
64675668,Christian Eriksen,Christian,Eriksen,DEN,Manchester Utd,MUN,1992
82030193,Romain Esse,Romain,Esse,ENG,Crystal Palace,CRY,2005
22130963,Pervis Estupiñán,Pervis,Estupiñán,ECU,Brighton,BHA,1998
3469873,Evanilson,Evanilson,Evanilson,BRA,Bournemouth,BOU,1999
57678542,Jake Evans,Jake,Evans,NAN,Leicester City,LEI,
75176673,Jonny Evans,Jonny,Evans,NIR,Manchester Utd,MUN,1988
9188030,Eberechi Eze,Eberechi,Eze,ENG,Crystal Palace,CRY,1998
88194474,Łukasz Fabiański,Łukasz,Fabiański,POL,West Ham,WHU,1985
23732327,Wout Faes,Wout,Faes,BEL,Leicester City,LEI,1998
80727882,Abdul Fatawu Issahaku,Abdul,Issahaku,GHA,Leicester City,LEI,2004
96172898,João Félix,João,Félix,POR,Chelsea,CHE,1999
78394894,Evan Ferguson,Evan,Ferguson,IRL,West Ham,WHU,2004
66147497,Bruno Fernandes,Bruno,Fernandes,POR,Manchester Utd,MUN,1994
24905416,Mateus Fernandes,Mateus,Fernandes,POR,Southampton,SOU,2004
17784822,Enzo Fernández,Enzo,Fernández,ARG,Chelsea,CHE,2001
68572020,Mark Flekken,Mark,Flekken,NED,Brentford,BRE,1993
92293222,Phil Foden,Phil,Foden,ENG,Manchester City,MCI,2000
94440165,Wesley Fofana,Wesley,Fofana,FRA,Chelsea,CHE,2000
22378158,Carlos Forbs,Carlos,Forbs,POR,Wolves,WOL,2004
67930536,Fraser Forster,Fraser,Forster,ENG,Tottenham,TOT,1988
13172102,Matheus França,Matheus,França,BRA,Crystal Palace,CRY,2004
80817481,Ryan Fraser,Ryan,Fraser,SCO,Southampton,SOU,1994
91931572,Tyler Fredricson,Tyler,Fredricson,ENG,Manchester Utd,MUN,2005
12434388,Niclas Füllkrug,Niclas,Füllkrug,GER,West Ham,WHU,1993
93892349,Cody Gakpo,Cody,Gakpo,NED,Liverpool,LIV,1999
51535327,Idrissa Gana Gueye,Idrissa,Gueye,SEN,Everton,EVE,1989
34989074,Andrés García,Andrés,García,ESP,Aston Villa,AVL,2003
86045753,Alejandro Garnacho,Alejandro,Garnacho,ARG,Manchester Utd,MUN,2004
88669698,James Garner,James,Garner,ENG,Everton,EVE,2001
12267132,Tyrique George,Tyrique,George,ENG,Chelsea,CHE,2006
34450872,Morgan Gibbs-White,Morgan,Gibbs-White,ENG,Nott'ham Forest,NFO,2000
18965133,Billy Gilmour,Billy,Gilmour,SCO,Brighton,BHA,2001
95379824,Ben Godfrey,Ben,Godfrey,ENG,Ipswich Town,IPS,1998
82308024,Martial Godo,Martial,Godo,ENG,Fulham,FUL,2003
28989909,Michael Golding,Michael,Golding,ENG,Leicester City,LEI,2006
68586323,João Gomes,João,Gomes,BRA,Wolves,WOL,2001
40045881,Rodrigo Gomes,Rodrigo,Gomes,POR,Wolves,WOL,2003
14022611,Toti Gomes,Toti,Gomes,POR,Wolves,WOL,1999
75516867,Diego Gómez,Diego,Gómez,PAR,Brighton,BHA,2003
37200149,Joe Gomez,Joe,Gomez,ENG,Liverpool,LIV,1997
56866616,Nicolás González,Nicolás,González,ESP,Manchester City,MCI,2002
68848872,Anthony Gordon,Anthony,Gordon,ENG,Newcastle Utd,NEW,2001
84034959,Ryan Gravenberch,Ryan,Gravenberch,NED,Liverpool,LIV,2002
9953102,Archie Gray,Archie,Gray,ENG,Tottenham,TOT,2006
41857831,Jack Grealish,Jack,Grealish,ENG,Manchester City,MCI,1995
30586313,Jacob Greaves,Jacob,Greaves,ENG,Ipswich Town,IPS,2000
66685884,Brajan Gruda,Brajan,Gruda,GER,Brighton,BHA,2004
55366582,Albert Grønbaek,Albert,Grønbaek,DEN,Southampton,SOU,2001
21847129,Gonçalo Guedes,Gonçalo,Guedes,POR,Wolves,WOL,1996
33955032,Marc Guéhi,Marc,Guéhi,ENG,Crystal Palace,CRY,2000
91704669,Luis Guilherme,Luis,Guilherme,BRA,West Ham,WHU,2006
83048178,Bruno Guimarães,Bruno,Guimarães,BRA,Newcastle Utd,NEW,1997
92164087,Marc Guiu,Marc,Guiu,ESP,Chelsea,CHE,2006
37127184,İlkay Gündoğan,İlkay,Gündoğan,GER,Manchester City,MCI,1990
21058552,Malo Gusto,Malo,Gusto,FRA,Chelsea,CHE,2003
67197840,Joško Gvardiol,Joško,Gvardiol,CRO,Manchester City,MCI,2002
62614189,Erling Haaland,Erling,Haaland,NOR,Manchester City,MCI,2000
46156592,Lewis Hall,Lewis,Hall,ENG,Newcastle Utd,NEW,2004
89150906,Ali Al Hamadi,Ali,Hamadi,IRQ,Ipswich Town,IPS,2002
56988285,Marcus Harness,Marcus,Harness,ENG,Ipswich Town,IPS,1996
28373281,Jack Harrison,Jack,Harrison,ENG,Everton,EVE,1996
34174398,Taylor Harwood-Bellis,Taylor,Harwood-Bellis,ENG,Southampton,SOU,2002
92432826,Kai Havertz,Kai,Havertz,GER,Arsenal,ARS,1999
1116535,Ayden Heaven,Ayden,Heaven,ENG,Manchester Utd,MUN,2006
82172636,Jan Paul van Hecke,Jan,Hecke,NED,Brighton,BHA,2000
65281363,Hwang Hee-chan,Hwang,Hee-chan,KOR,Wolves,WOL,1996
49369616,Dean Henderson,Dean,Henderson,ENG,Crystal Palace,CRY,1997
94589556,Rico Henry,Rico,Henry,ENG,Brentford,BRE,1997
5079830,Mads Hermansen,Mads,Hermansen,DEN,Leicester City,LEI,2000
15727560,Son Heung-min,Son,Heung-min,KOR,Tottenham,TOT,1992
98820157,James Hill,James,Hill,ENG,Bournemouth,BOU,2002
70857030,Jack Hinshelwood,Jack,Hinshelwood,ENG,Brighton,BHA,2005
3142347,George Hirst,George,Hirst,SCO,Ipswich Town,IPS,1999
22637697,Mason Holgate,Mason,Holgate,JAM,Everton,EVE,1996
25555471,Harry Howell,Harry,Howell,ENG,Brighton,BHA,2008
91951728,Callum Hudson-Odoi,Callum,Hudson-Odoi,ENG,Nott'ham Forest,NFO,2000
95612109,Will Hughes,Will,Hughes,ENG,Crystal Palace,CRY,1995
18823847,Dean Huijsen,Dean,Huijsen,ESP,Bournemouth,BOU,2005
42251402,Omari Hutchinson,Omari,Hutchinson,ENG,Ipswich Town,IPS,2003
76277181,Rasmus Højlund,Rasmus,Højlund,DEN,Manchester Utd,MUN,2003
52303012,Igor,Igor,Igor,BRA,Brighton,BHA,1998
12841302,Danny Ings,Danny,Ings,ENG,West Ham,WHU,1992
28753481,Tim Iroegbunam,Tim,Iroegbunam,ENG,Everton,EVE,2003
1197380,Andy Irving,Andy,Irving,SCO,West Ham,WHU,2000
54538383,Alexander Isak,Alexander,Isak,SWE,Newcastle Utd,NEW,1999
202385,Alex Iwobi,Alex,Iwobi,NGA,Fulham,FUL,1996
82941121,Nicolas Jackson,Nicolas,Jackson,SEN,Chelsea,CHE,2001
2975804,Reece James,Reece,James,ENG,Chelsea,CHE,1999
96173936,Vitaly Janelt,Vitaly,Janelt,GER,Brentford,BRE,1998
60507873,Vitezslav Jaros,Vitezslav,Jaros,CZE,Liverpool,LIV,2001
98418242,Daniel Jebbison,Daniel,Jebbison,CAN,Bournemouth,BOU,2003
99712451,Mathias Jensen,Mathias,Jensen,DEN,Brentford,BRE,1996
20607791,Gabriel Jesus,Gabriel,Jesus,BRA,Arsenal,ARS,1997
23593204,Raúl Jiménez,Raúl,Jiménez,MEX,Fulham,FUL,1991
5820093,Kim Jisoo,Kim,Jisoo,KOR,Brentford,BRE,2004
98938489,João Pedro,João,Pedro,BRA,Brighton,BHA,2001
35558341,Joelinton,Joelinton,Joelinton,BRA,Newcastle Utd,NEW,1996
51256801,Ben Johnson,Ben,Johnson,ENG,Ipswich Town,IPS,2000
32935340,Brennan Johnson,Brennan,Johnson,WAL,Tottenham,TOT,2001
75695427,Sam Johnstone,Sam,Johnstone,ENG,Wolves,WOL,1993
67587551,Curtis Jones,Curtis,Jones,ENG,Liverpool,LIV,2001
77352858,Jorginho,Jorginho,Jorginho,ITA,Arsenal,ARS,1991
623301,Diogo Jota,Diogo,Jota,POR,Liverpool,LIV,1996
6035839,James Justin,James,Justin,ENG,Leicester City,LEI,1998
58890418,Filip Jørgensen,Filip,Jørgensen,DEN,Chelsea,CHE,2002
14406907,Ferdi Kadioglu,Ferdi,Kadioglu,TUR,Brighton,BHA,1999
72690564,Daichi Kamada,Daichi,Kamada,JPN,Crystal Palace,CRY,1996
72560871,Boubacar Kamara,Boubacar,Kamara,FRA,Aston Villa,AVL,1999
60951141,Joachim Kayi Sanda,Joachim,Sanda,FRA,Southampton,SOU,2006
86834705,Michael Kayode,Michael,Kayode,ITA,Brentford,BRE,2004
60358754,Michael Keane,Michael,Keane,ENG,Everton,EVE,1993
67302051,Caoimhín Kelleher,Caoimhín,Kelleher,IRL,Liverpool,LIV,1998
37531478,Lloyd Kelly,Lloyd,Kelly,ENG,Newcastle Utd,NEW,1998
14734502,Milos Kerkez,Milos,Kerkez,HUN,Bournemouth,BOU,2003
687282,Bilal El Khannouss,Bilal,Khannouss,MAR,Leicester City,LEI,2004
82237895,Abdukodir Khusanov,Abdukodir,Khusanov,UZB,Manchester City,MCI,2004
81320886,Max Kilman,Max,Kilman,ENG,West Ham,WHU,1997
55501313,Joshua King,Joshua,King,ENG,Fulham,FUL,2007
76632010,Tom King,Tom,King,WAL,Wolves,WOL,1995
9755247,Antonín Kinský,Antonín,Kinský,CZE,Tottenham,TOT,2003
61331482,Jakub Kiwior,Jakub,Kiwior,POL,Arsenal,ARS,2000
45550065,Justin Kluivert,Justin,Kluivert,NED,Bournemouth,BOU,1999
67947307,Ibrahima Konaté,Ibrahima,Konaté,FRA,Liverpool,LIV,1999
83932169,Ezri Konsa,Ezri,Konsa,ENG,Aston Villa,AVL,1997
99338504,Mateo Kovačić,Mateo,Kovačić,CRO,Manchester City,MCI,1994
7607382,Caleb Kporha,Caleb,Kporha,ENG,Crystal Palace,CRY,2006
39996310,Emil Krafth,Emil,Krafth,SWE,Newcastle Utd,NEW,1994
46976774,Mohammed Kudus,Mohammed,Kudus,GHA,West Ham,WHU,2000
12684016,Dejan Kulusevski,Dejan,Kulusevski,SWE,Tottenham,TOT,2000
88069172,Maxence Lacroix,Maxence,Lacroix,FRA,Crystal Palace,CRY,2000
15583825,Adam Lallana,Adam,Lallana,ENG,Southampton,SOU,1988
88656982,Tariq Lamptey,Tariq,Lamptey,GHA,Brighton,BHA,2000
15098460,Will Lankshear,Will,Lankshear,ENG,Tottenham,TOT,2005
95326076,Roméo Lavia,Roméo,Lavia,BEL,Chelsea,CHE,2004
70673341,Mario Lemina,Mario,Lemina,GAB,Wolves,WOL,1993
89064478,Bernd Leno,Bernd,Leno,GER,Fulham,FUL,1992
93429245,Jefferson Lerma,Jefferson,Lerma,COL,Crystal Palace,CRY,1994
83267086,Rico Lewis,Rico,Lewis,ENG,Manchester City,MCI,2004
78445788,Keane Lewis-Potter,Keane,Lewis-Potter,ENG,Brentford,BRE,2001
62096990,Myles Lewis-Skelly,Myles,Lewis-Skelly,ENG,Arsenal,ARS,2006
50110722,Matthijs de Ligt,Matthijs,Ligt,NED,Manchester Utd,MUN,1999
4336889,Pedro Lima,Pedro,Lima,BRA,Wolves,WOL,2006
8021514,Victor Lindelöf,Victor,Lindelöf,SWE,Manchester Utd,MUN,1994
79691155,Jesper Lindstrøm,Jesper,Lindstrøm,DEN,Everton,EVE,2000
87907892,Valentino Livramento,Valentino,Livramento,ENG,Newcastle Utd,NEW,2002
36617450,Sean Longstaff,Sean,Longstaff,ENG,Newcastle Utd,NEW,1997
98368674,Saša Lukić,Saša,Lukić,SRB,Fulham,FUL,1996
51263324,Joe Lumley,Joe,Lumley,ENG,Southampton,SOU,1995
93077266,Massimo Luongo,Massimo,Luongo,AUS,Ipswich Town,IPS,1992
8908151,Ian Maatsen,Ian,Maatsen,NED,Aston Villa,AVL,2002
2117369,Alexis Mac Allister,Alexis,Allister,ARG,Liverpool,LIV,1998
43144471,James Maddison,James,Maddison,ENG,Tottenham,TOT,1996
47387836,Noni Madueke,Noni,Madueke,ENG,Chelsea,CHE,2002
77892758,Gabriel Magalhães,Gabriel,Magalhães,BRA,Arsenal,ARS,1997
94586266,Edmond-Paris Maghoma,Edmond-Paris,Maghoma,ENG,Brentford,BRE,2001
97148916,Harry Maguire,Harry,Maguire,ENG,Manchester Utd,MUN,1993
14437839,Kobbie Mainoo,Kobbie,Mainoo,ENG,Manchester Utd,MUN,2005
70093930,Tyrell Malacia,Tyrell,Malacia,NED,Manchester Utd,MUN,1999
54700890,Donyell Malen,Donyell,Malen,NED,Aston Villa,AVL,1999
16687135,Mateus Mane,Mateus,Mane,NAN,Wolves,WOL,
30135073,Orel Mangala,Orel,Mangala,BEL,Everton,EVE,1998
89096138,Ryan Manning,Ryan,Manning,IRL,Southampton,SOU,1996
40410876,Solly March,Solly,March,ENG,Brighton,BHA,1994
71960083,Omar Marmoush,Omar,Marmoush,EGY,Manchester City,MCI,1999
20265841,Gabriel Martinelli,Gabriel,Martinelli,BRA,Arsenal,ARS,2001
9570376,Emiliano Martínez,Emiliano,Martínez,ARG,Aston Villa,AVL,1992
35393490,Lisandro Martínez,Lisandro,Martínez,ARG,Manchester Utd,MUN,1998
21209057,Pape Matar Sarr,Pape,Sarr,SEN,Tottenham,TOT,2002
39642581,Jean-Philippe Mateta,Jean-Philippe,Mateta,FRA,Crystal Palace,CRY,1997
29319756,Stephy Mavididi,Stephy,Mavididi,ENG,Leicester City,LEI,1998
2015341,Konstantinos Mavropanos,Konstantinos,Mavropanos,GRE,West Ham,WHU,1997
2916049,Noussair Mazraoui,Noussair,Mazraoui,MAR,Manchester Utd,MUN,1997
85415668,Bryan Mbeumo,Bryan,Mbeumo,CMR,Brentford,BRE,1999
18696494,James Mcatee,James,Mcatee,ENG,Manchester City,MCI,2002
47327451,Kasey McAteer,Kasey,McAteer,IRL,Leicester City,LEI,2001
70839213,Alex McCarthy,Alex,McCarthy,ENG,Southampton,SOU,1989
8072999,John McGinn,John,McGinn,SCO,Aston Villa,AVL,1994
80879632,Dwight McNeil,Dwight,McNeil,ENG,Everton,EVE,1999
5591117,Scott McTominay,Scott,McTominay,SCO,Manchester Utd,MUN,1996
56993723,Ben Mee,Ben,Mee,ENG,Brentford,BRE,1989
60201990,Jayden Meghoma,Jayden,Meghoma,ENG,Brentford,BRE,2006
65970510,Mikel Merino,Mikel,Merino,ESP,Arsenal,ARS,1996
11627472,Shumaira Mheuka,Shumaira,Mheuka,ENG,Chelsea,CHE,2007
78579702,Nikola Milenković,Nikola,Milenković,SRB,Nott'ham Forest,NFO,1997
63428172,Lewis Miley,Lewis,Miley,ENG,Newcastle Utd,NEW,2006
36117067,James Milner,James,Milner,ENG,Brighton,BHA,1986
38246655,Tyrone Mings,Tyrone,Mings,ENG,Aston Villa,AVL,1993
